cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
218	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
219	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
915	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
634	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
198	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
196	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
20	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
1084	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
182	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
183	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
772	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
1269	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
313	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
317	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
315	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
314	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
761	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
765	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
1250	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
300	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
306	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
717	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
596	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
442	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
36	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
83	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
84	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
85	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
326	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
324	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
325	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
120	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
356	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
359	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
358	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
263	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
262	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
267	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
264	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
268	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
111	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
112	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
119	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
